total,marca,modelo,año,color,fuel_type,puertas,tipo,motor,tipo_cuerpo,kilometros,moneda
30822.0,Nissan,Sentra,2020,Blanco,Nafta,4.0,Automática,2.0,Sedán,30000,dólares
28500.0,Peugeot,308,2017,Azul,Nafta,5.0,Manual,1.6,Hatchback,42000,dólares
15469.0,Peugeot,Expert,2014,Blanco,Diésel,3.0,Manual,2.0,Monovolumen,130000,dólares
13530.0,Ford,Ecosport,2015,Plateado,Nafta,5.0,Manual,1.6,SUV,51000,dólares
13817.0,Honda,Fit,2013,Blanco,Nafta,5.0,Manual,1.5,Hatchback,82012,dólares
13375.0,Volkswagen,Vento,2011,Gris,Nafta,4.0,Automática,2.5,Sedán,89000,dólares
14693.0,Volkswagen,Polo,2018,Gris,Nafta,5.0,Automática,1.6,Hatchback,109000,dólares
34990.0,Mercedes-Benz,Clase GLA,2015,Negro,Nafta,5.0,Automática,1.6,SUV,86000,dólares
30628.0,Volkswagen,Amarok,2018,Blanco,Diésel,4.0,Manual,2.0,Pick-Up,79000,dólares
12212.0,Honda,Fit,2013,Blanco,Nafta,5.0,Manual,1.5,Hatchback,82000,dólares
11437.0,Toyota,Etios,2017,Blanco,Nafta,5.0,Manual,1.5,Hatchback,84000,dólares
17291.0,Renault,Duster Oroch,2019,Blanco,Nafta,4.0,Manual,1.6,SUV,62000,dólares
12212.0,Chevrolet,Cruze,2014,Plateado,Nafta,4.0,Manual,1.8,Sedán,61000,dólares
13499.0,Volkswagen,Vento,2012,Plateado,Nafta,4.0,Automática,2.0,Sedán,196000,dólares
13511.0,Volkswagen,Polo,2017,Gris,Nafta,4.0,Manual,1.6,Hatchback,49000,dólares
12367.0,Renault,Kwid,2020,Rojo,Nafta,5.0,Manual,1.0,Hatchback,39000,dólares
12755.0,Renault,Mégane III,2016,Azul,Nafta,4.0,Manual,1.6,Hatchback,69000,dólares
48423.0,Toyota,Corolla Cross,2022,Negro,Híbrido/Nafta,5.0,Automática,1.8,SUV,2000,dólares
10428.0,Peugeot,308,2012,Blanco,Nafta,5.0,Manual,1.6,Hatchback,79000,dólares
35499.0,Toyota,Hilux,2020,Plateado,Diésel,4.0,Automática,2.8,Pick-Up,57700,dólares
13530.0,Hyundai,Tucson,2011,Plateado,Nafta,5.0,Manual,2.0,SUV,137000,dólares
13918.0,Ford,Focus III,2015,Blanco,Nafta,5.0,Automática,2.0,Hatchback,79000,dólares
11591.0,Fiat,500,2014,Azul,Nafta,3.0,Manual,1.4,Hatchback,69000,dólares
54084.0,Chevrolet,Trailblazer,2021,Gris,Diésel,5.0,Automática,2.8,SUV,23000,dólares
